Country,Continent,Area
?land,Europe,100
Federated States Of Micronesia,Oceania,701
Macedonia,Europe,25436
Mayotte,Africa,375
Martinique,North America,1128
French Polynesia,Oceania,3521
French Guiana, South America,83846
Afghanistan,Asia,652864
Albania,Europe,28703
Algeria,Africa,2381741
American Samoa,Oceania,199
Andorra,Europe,468
Angola,Africa,1246700
Anguilla,North America,100
Antigua and Barbuda,North America,442
Antigua And Barbuda,North America,442
Argentina,South America,2791810
Armenia,Asia,29743
Aruba,North America,180
Ashmore and Cartier Islands,Oceania,100
Australia,Oceania,7688126
Australian Indian Ocean Territories,Oceania,100
Austria,Europe,83883
Azerbaijan,Asia,866
Bahamas,North America,13939
Bahrain,Asia,778
Bangladesh,Asia,14757
Barbados,North America,430
Belarus,Europe,207628
Belgium,Europe,30528
Belize,North America,22966
Benin,Africa,114763
Bermuda,North America,54
Bhutan,Asia,38394
Bolivia,South America,1098581
Bosnia and Herzegovina,Europe,51209
Bosnia And Herzegovina,Europe,51209
Botswana,Africa,58173
Brazil,South America,8502728
British Virgin Islands,North America,100
Brunei,Asia,5765
Bulgaria,Europe,111036
Burkina Faso,Africa,270764
Burma,Asia,676553
Burundi,Africa,27834
C?te D'Ivoire,Africa,332462
Cambodia,Asia,181035
Cameroon,Africa,46605
Canada,North America,9984670
Cape Verde,Africa,4033
Cayman Islands,North America,264
Central African Republic,Africa,622436
Chad,Africa,1284000
Chile,South America,756096
China,Asia,9572900
Colombia,South America,1140970
Comoros,Africa,1861
Congo,Arfica,2345000
Costa Rica,North America,511
Croatia,Europe,56594
Cuba,North America,109884
Cura?ao,North America,444
Cyprus,Europe,9251
Czech Republic,Europe,78871
Democratic Republic of the Congo,Africa,2345000
Denmark,Europe,42838
Djibouti,Africa,23
Dominica,North America,751
Dominican Republic,North America,48223
East Timor,Asia,14954
Ecuador,South America,2567
Egypt,Africa,996603
El Salvador,North America,21041
Equatorial Guinea,Africa,28052
Eritrea,Africa,1211
Estonia,Europe,45339
Eswatini,Africa,17364
Ethiopia,Africa,1120000
Faroe Islands,Europe,1396
Federated States of Micronesia,Oceania,701
Fiji,Oceania,18272
Finland,Europe,338472
France,Europe,543941
Gambia,Africa,10689
Gabon,Africa,267667
Georgia,Asia,697
Germany,Europe,357592
Ghana,Africa,238533
Greece,Europe,132049
Greenland, North America,2166086
Grenada,North America,344
Guam,Oceania,561
Guatemala,North America,108889
Guernsey,Europe,78
Guinea,Africa,245857
Guinea-Bissau,Africa,36125
Guyana,South America,214999
Haiti,North America,27065
Honduras,North America,112492
Hong Kong,Asia,1114
Hungary,Europe,93025
Iceland,Europe,103
India,Asia,3287469
Indonesia,Asia,1916907
Iran,Asia,1630848
Iraq,Asia,435052
Ireland,Europe,68466
Isle of Man,Europe,572
Israel,Asia,22072
Italy,Europe,302068
Ivory Coast,Africa,100
Jamaica,North America,10991
Japan,Asia,377974
Jersey,Europe,120
Jordan,Asia,89318
Kazakhstan,Asia,2724900
Kenya,Africa,582646
Kiribati,Oceania,811
Kosovo,Europe,10905
Kuwait,Asia,17818
Kyrgyzstan,Asia,199945
Laos,Asia,2368
Latvia,Europe,64594
Lebanon,Asia,10452
Lesotho,Africa,30355
Liberia,Africa,97036
Libya,Africa,1676198
Liechtenstein,Europe,160
Lithuania,Europe,65286
Luxembourg,Europe,2586
Macau,Asia,33
Madagascar,Africa,591896
Malawi,Africa,11876
Malaysia,Asia,330411
Maldives,Asia,298
Mali,Africa,1241238
Malta,Europe,316
Marshall Islands,Oceania,181
Mauritania,Africa,1030700
Mauritius,Africa,2007
Mexico,North America,1964375
Moldova,Europe,33843
Monaco,Europe,2.1
Mongolia,Asia,1564241
Montenegro,Europe,13883
Montserrat,North America,100
Morocco,Africa,410
Mozambique,Africa,79938
Myanmar,Asia,676553
Namibia,Africa,824292
Nauru,Oceania,21
Nepal,Asia,147181
Netherlands,Europe,41543
New Caledonia,Oceania,18567
New Zealand,Oceania,2657
Nicaragua,North America,130373
Niger,Africa,1267000
Nigeria,Africa,923768
Norfolk Island,Oceania,100
North Korea,Asia,123214
Northern Mariana Islands,Oceania,472
Norway,Europe,384483
Oman,Asia,3095
Pakistan,Asia,796096
Palau,Oceania,490
Palestine,Asia,100
Panama,North America,7532
Papua New Guinea,Oceania,461937
Paraguay,South America,406752
People's Republic of China,Asia,9572900
Peru,South America,1285082
Philippines,Asia,295633
Poland,Europe,311895
Portugal,Europe,92225
Puerto Rico,North America,8897
Qatar,Asia,11627
Republic of Macedonia,Europe,25436
Republic of the Congo,Africa,342
Romania,Europe,238398
Russia,Europe,17075400
Rwanda,Africa,26338
S?o Tom? and Pr?ncipe,Africa,1001
Saint Helena,Africa,100
Saint Kitts and Nevis,North America,263
Saint Lucia,North America,616
Saint Martin,North America,100
Saint Pierre and Miquelon,North America,100
Saint Vincent and the Grenadines,North America,389
Saint-Barth?lemy,North America,100
Samoa,Oceania,283
San Marino,Europe,61
Saudi Arabia,Asia,2149690
Senegal,Africa,196712
Serbia,Europe,77589
Seychelles,Africa,446
Siachen Glacier,Asia,100
Sierra Leone,Africa,7174
Singapore,Asia,704
Sint Maarten,North America,34
Slovakia,Europe,49034
Slovenia,Europe,20271
Solomon Islands,Oceania,30407
Somalia,Africa,637657
Somaliland,Africa,637657
South Africa,Africa,1220813
South Korea,Asia,100222
South Sudan,Africa,644329
Spain,Europe,505983
Sri Lanka,Asia,6561
Sudan,Africa,1840687
Suriname,South America,16382
Swaziland,Africa,100
Sweden,Europe,447425
Switzerland,Europe,41291
Syria,Asia,18518
Taiwan,Asia,36197
Tajikistan,Asia,1414
Tanzania,Africa,9455
Thailand,Asia,51312
The Bahamas,North America,13939
The Gambia,Africa,10689
Togo,Africa,566
Tonga,Oceania,650
Trinidad and Tobago,North America,5128
Trinidad And Tobago,North America,5128
Tunisia,Africa,16361
Turkey,Asia,769604
Turkish Republic of Northern Cyprus,Asia,100
Turkmenistan,Asia,49121
Turks and Caicos Islands,North America,100
Tuvalu,Oceania,26
Uganda,Africa,241555
Ukraine,Europe,603549
United Arab Emirates,Asia,71024
United Kingdom,Europe,2425
United States of America,North America,9834633
United States Virgin Islands,North America,348
United States,North America,9834633
Uruguay,South America,193356
Uzbekistan,Asia,448971
Vanuatu,Oceania,1219
Vatican City,Europe,0.44
Venezuela,South America,916445
